No,Kota,PGA,Ss,S1,TL
179,Kebonagung,0.54,1.22,0.55,20.00
180,Kebumen,0.39,0.87,0.43,20.00
181,Kediri,0.39,0.85,0.40,20.00
182,Kedungombo,0.34,0.80,0.37,20.00
183,Kejayan,0.34,0.73,0.35,20.00
184,Kemiri,0.37,0.83,0.41,20.00
185,Kemusu,0.33,0.76,0.36,20.00
186,Kencong,0.45,0.98,0.44,20.00
187,Kendal,0.32,0.71,0.33,20.00
188,Kendari,0.32,0.70,0.20,12.00
189,Kepanjen,0.45,0.98,0.45,20.00
190,Kerinci,0.64,1.63,0.65,20.00
191,Kertapati,0.15,0.30,0.26,20.00
192,Kertosono,0.36,0.80,0.37,20.00
193,Kesamben,0.48,1.05,0.48,20.00
194,Ketanggungan,0.30,0.66,0.32,20.00
195,Ketapang,0.39,0.87,0.36,20.00
196,Kinabalu,0.13,0.28,0.08,16.00
197,Kintamani,0.46,1.09,0.44,12.00
198,Klaten,0.53,1.22,0.53,20.00
199,Kotaagung,0.65,1.67,0.63,6.00
200,Kotabaru,0.07,0.14,0.06,12.00
201,Kotagede,0.56,1.35,0.57,6.00
202,Kotamaubago,0.55,1.28,0.57,12.00
203,Kotapinang,0.29,0.62,0.34,20.00
204,Kotawaringin,0.01,0.03,0.04,12.00
205,Krakatau,0.56,1.34,0.59,20.00
206,Kraksaan,0.32,0.67,0.32,20.00
207,Krian,0.43,0.95,0.39,20.00
208,Kualalumpur,0.06,0.12,0.13,20.00
209,Kudus,0.26,0.59,0.28,20.00
210,Kupang,0.48,1.04,0.37,4.00
211,Kutai,0.09,0.17,0.11,16.00
212,Lamongan,0.32,0.69,0.30,20.00
213,Larantuka,0.57,1.43,0.64,12.00
214,Lasem,0.25,0.54,0.26,6.00
215,Lawang,0.37,0.80,0.38,20.00
216,Leces,0.34,0.72,0.35,20.00
217,Lemahabang,0.38,0.85,0.37,20.00
218,Lembang,0.59,1.42,0.58,6.00
219,Lhokseumawe,0.41,0.90,0.42,20.00
220,Linggarjati,0.40,0.88,0.38,20.00
221,Lombok,0.47,1.06,0.43,12.00
222,Lubuklinggau,0.45,1.06,0.60,20.00
223,Lumajang,0.41,0.89,0.41,20.00
224,Madiun,0.37,0.82,0.38,20.00
225,Magelang,0.34,0.79,0.39,20.00
226,Magetan,0.38,0.84,0.39,20.00
227,Majalengka,0.36,0.80,0.37,20.00
228,Majene,0.61,1.53,0.61,8.00
229,Makasar,0.11,0.22,0.11,16.00
230,Malaka,0.06,0.12,0.14,20.00
231,Manado,0.46,1.03,0.46,16.00
232,Manggarai,0.58,1.47,0.59,12.00
233,Maninjau,0.63,1.58,0.63,20.00
234,Manokwari,0.95,2.51,0.85,6.00
235,Mantingan,0.34,0.78,0.36,20.00
236,Mataram,0.46,1.03,0.40,12.00
237,Medan,0.30,0.66,0.36,20.00
238,Mendawai,0.01,0.04,0.04,12.00
239,Mendut,0.37,0.85,0.42,20.00
240,Menggala,0.23,0.46,0.30,20.00
241,Menoreh,0.38,0.87,0.43,20.00
242,Mentawai,0.55,1.34,0.61,20.00
243,Mentaya,0.01,0.03,0.03,12.00
244,Merak,0.41,0.87,0.42,20.00
245,Merauke,0.02,0.03,0.04,4.00
246,Minahasa,0.48,1.06,0.48,12.00
248,Modung,0.28,0.58,0.27,20.00
249,Mojokerto,0.42,0.93,0.38,20.00
250,Mojowarno,0.36,0.78,0.36,20.00
251,Mranggen,0.36,0.82,0.36,20.00
252,Muncar,0.43,0.96,0.41,20.00
253,Muntilan,0.38,0.89,0.42,20.00
254,Muntok,0.10,0.20,0.17,20.00
255,Negara_(Bali),0.42,0.94,0.39,20.00
256,Negara_(KalSel),0.12,0.23,0.07,12.00
257,Negeribatin,0.32,0.74,0.42,20.00
258,Negeribesar,0.24,0.51,0.33,20.00
259,Negeriratu,0.58,1.47,0.60,20.00
260,Ngadiluwih,0.42,0.90,0.42,20.00
261,Ngadirejo,0.43,0.94,0.45,20.00
262,Ngambon,0.39,0.86,0.37,20.00
263,Nganjuk,0.37,0.81,0.37,20.00
264,Ngawen,0.45,1.03,0.48,20.00
265,Ngawi,0.39,0.87,0.38,20.00
266,Ngebel,0.40,0.87,0.41,20.00
267,Ngijon,0.44,1.00,0.47,20.00
268,Ngilyep,0.53,1.18,0.53,20.00
269,Ngoro,0.36,0.79,0.37,20.00
270,Ngunut,0.47,1.02,0.47,20.00
271,Nunukan,0.19,0.40,0.14,16.00
272,Nusakambangan,0.48,1.06,0.48,20.00
273,Nusapenida,0.45,1.00,0.40,12.00
274,Okaba,0.04,0.08,0.05,4.00
275,Olettakan,0.49,1.07,0.43,12.00
276,Omba,0.53,1.27,0.49,6.00
277,Ombai,0.57,1.46,0.59,12.00
278,P._Batam,0.03,0.08,0.12,12.00
279,P._Bawean,0.20,0.42,0.16,20.00
280,P._Bengkalis,0.08,0.16,0.17,20.00
281,P._Gunungapi,0.26,0.59,0.29,12.00
282,P._Karimun,0.08,0.13,0.14,20.00
283,P._Ketapang,0.31,0.64,0.32,20.00
284,P._Komodo,0.55,1.27,0.51,12.00
285,P._Krakatau,0.56,1.34,0.59,20.00
286,P._Nusakambangan,0.48,1.06,0.48,20.00
287,P._Obira,0.44,1.02,0.45,12.00
288,P._Padang,0.09,0.17,0.18,20.00
289,P._Rangsang,0.08,0.14,0.16,20.00
290,P._Raya,0.60,1.37,0.60,20.00
291,P._Walgeo,0.32,0.76,0.32,16.00
292,P._Wangiwangi,0.28,0.61,0.17,12.00
293,P._We,0.97,2.50,1.07,12.00
294,P._Wetan,0.54,1.19,0.47,12.00
295,Paciran,0.28,0.58,0.25,20.00
296,Pacitan,0.53,1.21,0.55,20.00
297,Padalarang,0.55,1.30,0.55,6.00
298,Padang,0.72,1.12,0.57,20.00
299,Padangan,0.32,0.71,0.32,20.00
300,Paiton,0.31,0.65,0.31,20.00
301,Pajangan,0.50,1.16,0.52,20.00
302,Pakanbaru,0.19,0.39,0.30,20.00
303,Pakisaji,0.44,0.96,0.44,20.00
304,Paleleh,0.60,1.50,0.60,16.00
305,Palembang,0.15,0.29,0.25,20.00
306,Palembayan,0.65,1.68,0.66,8.00
307,Palu,0.60,1.50,0.60,12.00
308,Pamekasan,0.28,0.59,0.28,20.00
309,Pamotan,0.27,0.60,0.28,6.00
